Variable;lbl;lbl2
nb_09;Nombre d'établissements - Services de soutien aux industries extractives;nb_09 : Nombre d'établissements - Services de soutien aux industries extractives
nb_10;Nombre d'établissements - Industries alimentaires;nb_10 : Nombre d'établissements - Industries alimentaires
nb_11;Nombre d'établissements - Fabrication de boissons;nb_11 : Nombre d'établissements - Fabrication de boissons
nb_12;Nombre d'établissements - Fabrication de produits à base de tabac;nb_12 : Nombre d'établissements - Fabrication de produits à base de tabac
nb_13;Nombre d'établissements - Fabrication de textiles;nb_13 : Nombre d'établissements - Fabrication de textiles
nb_14;Nombre d'établissements - Industrie de l'habillement;nb_14 : Nombre d'établissements - Industrie de l'habillement
nb_15;Nombre d'établissements - Industrie du cuir et de la chaussure;nb_15 : Nombre d'établissements - Industrie du cuir et de la chaussure
nb_16;"Nombre d'établissements - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie";"nb_16 : Nombre d'établissements - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
nb_17;Nombre d'établissements - Industrie du papier et du carton;nb_17 : Nombre d'établissements - Industrie du papier et du carton
nb_18;Nombre d'établissements - Imprimerie et reproduction d'enregistrements;nb_18 : Nombre d'établissements - Imprimerie et reproduction d'enregistrements
nb_19;Nombre d'établissements - Cokéfaction et raffinage;nb_19 : Nombre d'établissements - Cokéfaction et raffinage
nb_20;Nombre d'établissements - Industrie chimique;nb_20 : Nombre d'établissements - Industrie chimique
nb_21;Nombre d'établissements - Industrie pharmaceutique;nb_21 : Nombre d'établissements - Industrie pharmaceutique
nb_22;Nombre d'établissements - Fabrication de produits en caoutchouc et en plastique;nb_22 : Nombre d'établissements - Fabrication de produits en caoutchouc et en plastique
nb_23;Nombre d'établissements - Fabrication d'autres produits minéraux non métalliques;nb_23 : Nombre d'établissements - Fabrication d'autres produits minéraux non métalliques
nb_24;Nombre d'établissements - Métallurgie;nb_24 : Nombre d'établissements - Métallurgie
nb_25;Nombre d'établissements - Fabrication de produits métalliques, à l'exception des machines et des équipements;nb_25 : Nombre d'établissements - Fabrication de produits métalliques, à l'exception des machines et des équipements
nb_26;Nombre d'établissements - Fabrication de produits informatiques, électroniques et optiques;nb_26 : Nombre d'établissements - Fabrication de produits informatiques, électroniques et optiques
nb_27;Nombre d'établissements - Fabrication d'équipements électriques;nb_27 : Nombre d'établissements - Fabrication d'équipements électriques
nb_28;Nombre d'établissements - Fabrication de machines et équipements n.c.a.;nb_28 : Nombre d'établissements - Fabrication de machines et équipements n.c.a.
