"","number","name","address","lat","lon","lon2"
"142",6013,"06013 - JACQUES CALLOT","1 RUE JACQUES CALLOT - 75006 PARIS",48.8552546877505,2.33753933406029,1.53788557550981
"143",6014,"06014 - PONT DE LODI DAUPHINE","7 RUE DU PONT DE LODI - 75006 PARIS",48.8552968986033,2.33994730756525,1.53946980028221
"144",6015,"06015 - MAZET SAINT ANDRE DES ARTS","10 RUE ANDRE MAZET - 75006 PARIS",48.8537510734679,2.33911372289969,1.53892137835217
"145",6016,"06016 - DANTON","11 RUE DANTON - 75006 PARIS",48.8523930093114,2.34144252246847,1.54045351396713
"146",6017,"06017 - SENAT CONDE","34 RUE CONDE - 75006 PARIS",48.8495800021863,2.33784843717954,1.53808893689137
"147",6018,"06018 - MICHELET ASSAS","13 RUE MICHELET - 75006 PARIS",48.842540966044,2.3350678855655,1.53625959004066
"148",6020,"06020 - SAINT MICHEL DANTON","2 RUE DANTON - 75006 PARIS",48.8529304105913,2.34265739289121,1.54125278680589
"149",6021,"06021 - BONAPARTE BEAUX ARTS","17 RUE DES BEAUX ARTS - 75006 PARIS",48.8564374096868,2.33479762294837,1.53608178213196
"150",6022,"06022 - MARCHE SAINT GERMAIN - MABILLON","17 RUE LOBINEAU - 75006 PARIS",48.8516596929124,2.33550466500983,1.5365469506841
"151",6024,"06024 - SAINT GERMAIN DES PRES","55 RUE DES SAINTS PERES - 75006 PARIS",48.8539423091614,2.33015352476927,1.53302639328916
"152",6025,"06025 - RENNES - ASSAS","16 RUE D'ASSAS - 75006 PARIS",48.8492084999386,2.32851454623001,1.53194809637352
"153",6026,"06026 - SAINT PLACIDE CHERCHE MIDI","28 RUE SAINT PLACIDE - 75006 PARIS",48.8491399032183,2.32517538941275,1.52975123875115
"154",6027,"06027 - VAUGIRARD DESGOFFE","2 RUE BLAISE DESGOFFE - 75006 PARIS",48.8461298915485,2.32424057814409,1.52913621904006
"155",6028,"06028 - ODEON QUATRE VENTS","6 RUE DES QUATRE VENTS - 75006 PARIS",48.8517513744589,2.33816169513405,1.53829503177185
"156",6029,"06029 - VAUGIRARD PRINCE","FACE 1 RUE DE VAUGIRARD - 75006 PARIS",48.8489229581858,2.34104050870596,1.54018902594012
"157",6030,"06030 - ASSAS-VAUGIRARD","22 RUE D'ASSAS - 75006 PARIS",48.8484688639545,2.32899674681117,1.53226533994135
"158",6031,"06031 - SAINT MICHEL SARRAZIN","5 RUE PIERRE SARAZIN - 75006 PARIS",48.8508336544035,2.34219822806774,1.54095069864484
"159",6032,"06032 - RENNES SABOT","7 RUE DU SABOT - 75006 PARIS",48.8525574216674,2.33164772290665,1.53400943803581
"160",6103,"06103 - MEZIERES RENNES","16 RUE DE MEZIERES - 75006 PARIS",48.8502970102176,2.33044682027725,1.53321935471852
"161",6104,"06104 - HERSCHEL","7 RUE HERSCHEL - 75006 PARIS",48.8433642427731,2.33780343096904,1.5380593269503
"162",6107,"06107 - CHERCHE MIDI","29 RUE DU CHERCHE MIDI - 75006 PARIS",48.8502410871957,2.32755154921057,1.53131453303456
"163",6108,"06108 - SAINT ROMAIN CHERCHE MIDI","20 RUE SAINT ROMAIN - 75006 PARIS",48.8470300806263,2.32128942100679,1.52719462946919
"164",7001,"07001 - DUROC","63 BOULEVARD DES INVALIDES - 75007 PARIS",48.8477698568288,2.31618388672946,1.52383565817576
