NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
SALLE JEAN RENOIR;PLACE DU 8 MAI 1945;78190;TRAPPES;78;ILE-DE-FRANCE;218;1 020;De 20 à 30 000 entrées
REX 1;10 RUE DE ST SAVIN;86300;CHAUVIGNY;86;POITOU-CHARENTES;218;727;De 10 à 20 000 entrées
CLUB 80 1;12 PLACE ARISTIDE BRIAND;02600;VILLERS COTTERETS;02;PICARDIE;217;1 919;De 20 à 30 000 entrées
REX;10 BD DE GUIZARD;12500;ESPALION;12;MIDI-PYRENEES;217;853;De 10 à 20 000 entrées
SALLE LOUIS JOUVET T.N.B.;1 RUE SAINT HELIER;35100;RENNES;35;BRETAGNE;217;3 282;De 75 à 100 000 entrées
FLORIAN 1;54 AV JULES FERRY;84110;VAISON-LA-ROMAINE;84;PROVENCE-ALPES-COTE D'AZUR;217;1 923;De 40 à 50 000 entrées
JEANNE D ARC;4, RUE DU SOUVENIR;88250;LA BRESSE;88;LORRAINE;217;431;De 5 à 10 000 entrées
L'ANTARES 3;1, PLACE DU COEUR BATTANT;95038;VAUREAL;95;ILE-DE-FRANCE;217;2 123;De 30 à 40 000 entrées
BALZAC;16 PLACE ARISTIDE BRIAND;37110;CHATEAU-RENAULT;37;CENTRE;216;1 004;De 20 à 30 000 entrées
LE CLUB;PLACE DU PETIT CHATEAU;45500;GIEN;45;CENTRE;216;820;De 20 à 30 000 entrées
CINE ILAIS;RUE PETIT CHIRON  PORT JOINVILLE;85350;L ILE-D YEU;85;PAYS-DE-LA-LOIRE;216;742;De 30 à 40 000 entrées
CINE THEATRE JACQUES PREVERT;PLACE AIME-CESAIRE;95500;GONESSE;95;ILE-DE-FRANCE;216;1 033;De 20 à 30 000 entrées
LE GRAND BLEU;CENTRE CULTUREL;29270;CARHAIX-PLOUGUER;29;BRETAGNE;215;875;De 20 à 30 000 entrées
FRANCOIS TRUFFAUT;7 RUE CARCANO;55200;COMMERCY;55;LORRAINE;215;393;De 10 à 20 000 entrées
LES AIGUILLES;LACHAL;73530;SAINT-JEAN-D ARVES;73;RHONE-ALPES;215;493;De 10 à 20 000 entrées
DOURON;PLACE DE LAUNCESTON;22310;PLESTIN-LES-GREVES;22;BRETAGNE;214;579;De 20 à 30 000 entrées
L'AUTAN;PLACE JEAN JAURES;31520;RAMONVILLE-SAINT-AGNE;31;MIDI-PYRENEES;214;1 030;De 30 à 40 000 entrées
CENTRE CULTUREL CLAUDE VIGEE;31, RUE DE VIRE;67240;BISCHWILLER;67;ALSACE;214;66;De 2 à 5 000 entrées
CNP BELLECOUR SALLE A;12 RUE DE LA BARRE;69002;LYON;69;RHONE-ALPES;214;4 682;De 10 à 20 000 entrées
CINEMATOUR;CINEMATOUR;71520;MATOUR;71;BOURGOGNE;214;59;Moins de 2000 entrées
CASSE-MASSION;LA RUA;73300;ALBIEZ-MONTROND;73;RHONE-ALPES;214;261;De 5 à 10 000 entrées
GERARD PHILIPE;RUE PAUL DOUMER;80350;MERS-LES-BAINS;80;PICARDIE;214;1 177;De 50 à 75 000 entrées
CINEMA PARADISO;2 RUE MARC SANGNIER;91330;YERRES;91;ILE-DE-FRANCE;214;1 107;De 30 à 40 000 entrées
 SALLE GERARD PHILIPPE;AV GABRIEL PERI;13230;PORT-SAINT-LOUIS-DU-RHONE;13;PROVENCE-ALPES-COTE D'AZUR;213;926;De 10 à 20 000 entrées
LE NORMANDY;PLACE DU GENERAL DE GAULLE;14220;THURY-HARCOURT;14;BASSE-NORMANDIE;213;668;De 10 à 20 000 entrées
REX;PLACE DES ARTS;31700;BLAGNAC;31;MIDI-PYRENEES;213;661;De 30 à 40 000 entrées
LE FOYER;PLACE DES NOYERS;42220;BOURG-ARGENTAL;42;RHONE-ALPES;213;344;De 10 à 20 000 entrées
SLE ST LOUIS;RUE DE LA TRESORERIE;05500;SAINT BONNET EN CHAMPSAUR;05;PROVENCE-ALPES-COTE D'AZUR;212;87;De 2 à 5 000 entrées
CINEMA DE CHARMOILLE;1 RUE DU CONOT;25380;CHARMOILLE;25;FRANCHE-COMTE;212;312;De 5 à 10 000 entrées
CINEMA LE MONT D OR 2;16 RUE DU VILLAGE;25370;METABIEF;25;FRANCHE-COMTE;212;2 018;De 20 à 30 000 entrées
MOLIERE;20 RUE DU PALAIS DE JUSTICE;33340;LESPARRE-MEDOC;33;AQUITAINE;212;440;De 10 à 20 000 entrées
LE NAUTILUS;PLACE RAIMU;34250;PALAVAS-LES-FLOTS;34;LANGUEDOC-ROUSSILLON;212;70;De 2 à 5 000 entrées
CINE COMTE;19 RUE DU GENERAL DE GAULLE;39800;POLIGNY;39;FRANCHE-COMTE;212;1 130;De 20 à 30 000 entrées
REX;5 PLACE DE LA 2EME DB;61500;SEES;61;BASSE-NORMANDIE;212;820;De 20 à 30 000 entrées
LES NOUVEAUX BLEUS;BOULEVARD DE VERDUN;82500;BEAUMONT-DE-LOMAGNE;82;MIDI-PYRENEES;212;347;De 10 à 20 000 entrées
ANDRE MALRAUX;28 AVENUE DE VERDUN;92390;VILLENEUVE-LA-GARENNE;92;ILE-DE-FRANCE;212;142;De 5 à 10 000 entrées
ANDRE BOURVIL;1 BD DE ST DIE;88400;GERARDMER;88;LORRAINE;211;737;De 10 à 20 000 entrées
LE FAMILIA;58 RUE VAYSSE BARTHELEMY;11500;QUILLAN;11;LANGUEDOC-ROUSSILLON;210;513;De 5 à 10 000 entrées
LE PALACE;RUE DES TROIS  FRERES NADEAU;17700;SURGERES;17;POITOU-CHARENTES;210;1 074;De 20 à 30 000 entrées
CINE PENTHIEV;18 BIS RUE DE BOUIN;22400;LAMBALLE;22;BRETAGNE;210;335;De 10 à 20 000 entrées
UTOPIA DIAGONAL CAMPUS 1;5 AV DU DOCTEUR PEZET;34000;MONTPELLIER;34;LANGUEDOC-ROUSSILLON;210;3 934;De 75 à 100 000 entrées
LE RESTERIA;2 BIS RUE LAMENAIS;35240;RETIERS;35;BRETAGNE;210;409;De 10 à 20 000 entrées
CENTRE CULTUREL;RUE DES PONTS;36500;BUZANCAIS;36;CENTRE;210;331;De 5 à 10 000 entrées
LES HALLES 1;PLACE ST PHILIBERT;42190;CHARLIEU;42;RHONE-ALPES;210;1 614;De 30 à 40 000 entrées
